,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
DN_HistogramMode_5,1.0,0.3847772184853094,0.7386983605901271,-0.354760466227828,0.7572602564971915,0.7447003713613779,-0.8754177932627522,0.39875238159924403,0.8042376116572902,-0.23204878238284474,0.6851761789856045,-0.354760466227828,-0.5328830765011935,0.5110772673827897,-0.6598726447080863,0.5872334898568218,0.5990217133977467,-0.9512159343450285,-0.3549402647804734,0.4547337774994132,-0.5467734278453736,-0.6268203781631057
DN_HistogramMode_10,0.3847772184853094,1.0,0.7160946925023516,-0.0428592318378953,0.4241493306033378,0.668881409509891,-0.4565611685963619,0.6522279186211319,0.15420900060989945,0.6383872312755906,0.7338769153458596,-0.0428592318378953,-0.6885183873585269,0.6555494047865333,-0.04657184124911838,0.7330956687644108,0.7648621246148642,-0.49275140039296383,0.29603110340987054,0.6549249057231266,-0.688260441275882,-0.7436352254598411
CO_f1ecac,0.7386983605901271,0.7160946925023516,1.0,-0.02390918150092463,0.8377547209160331,0.9858824257890673,-0.7722941180990845,0.8329501990049633,0.4176891153388782,0.2703701990584764,0.9657517063318649,-0.02390918150092463,-0.9315474127161856,0.9177016981996258,-0.31497799158055945,0.9685712341504912,0.9100617426080859,-0.8748816777724487,0.27035009434370144,0.8908382004279579,-0.9436097995272712,-0.9865142559414295
CO_FirstMin_ac,-0.354760466227828,-0.0428592318378953,-0.02390918150092463,1.0,-0.2683338938889734,0.06359396319286134,-0.12546888557523678,0.39709894750124114,0.029783465096542207,0.682557201655211,-0.21528664378155268,1.0,-0.33423639950910633,0.3226340591887144,-0.26888584825522027,0.20279916037263776,-0.3098866597049238,0.22048328288871913,0.3825913554404569,0.4177473972535926,-0.300068635050237,-0.08943137346308702
CO_HistogramAMI_even_2_5,0.7572602564971915,0.4241493306033378,0.8377547209160331,-0.2683338938889734,1.0,0.865161201864245,-0.6473958046808073,0.43208502697850176,0.30194571418742594,-0.13665713508651275,0.8721027331899163,-0.2683338938889734,-0.6681771596646958,0.7529280819417662,-0.3134554873419633,0.7554590324830882,0.7802627574890932,-0.8995208348589934,0.28985592423732326,0.6546948100898903,-0.6947331960866479,-0.800945062150554
CO_trev_1_num,0.7447003713613779,0.668881409509891,0.9858824257890673,0.06359396319286134,0.865161201864245,1.0,-0.8205829199990935,0.8068257753121254,0.4557234552191776,0.28155057818487783,0.9311682232177929,0.06359396319286134,-0.9407146547444087,0.9491405132635808,-0.4191654360250925,0.9716627102265127,0.8437590080868304,-0.8972958011267615,0.30301425519163105,0.9169155068141408,-0.9504456522082443,-0.9783718402898194
MD_hrv_classic_pnn40,-0.8754177932627522,-0.4565611685963619,-0.7722941180990845,-0.12546888557523678,-0.6473958046808073,-0.8205829199990935,1.0,-0.6255895104060972,-0.8677603195990997,-0.15960996726962992,-0.6221671378460755,-0.12546888557523678,0.7363566166094376,-0.7060112531514693,0.8349192628985189,-0.7305194103002023,-0.4885042104591971,0.8904401138973025,0.18136073285420473,-0.6951561744911762,0.7322145622332077,0.714282138669636
SB_BinaryStats_mean_longstretch1,0.39875238159924403,0.6522279186211319,0.8329501990049633,0.39709894750124114,0.43208502697850176,0.8068257753121254,-0.6255895104060972,1.0,0.3295617814394694,0.6018416607471622,0.7211867121488335,0.39709894750124114,-0.943818427482939,0.8592234667999018,-0.21898684111723854,0.9005877028484206,0.6906367461071476,-0.5353848491601453,0.3131656815806999,0.915159351305063,-0.936670299190106,-0.8699479713873061
SB_TransitionMatrix_3ac_sumdiagcov,0.8042376116572902,0.15420900060989945,0.4176891153388782,0.029783465096542207,0.30194571418742594,0.4557234552191776,-0.8677603195990997,0.3295617814394694,1.0,-0.07201911678732008,0.24085839578289114,0.029783465096542273,-0.3604724046204727,0.2806531685108824,-0.9026150447151756,0.3314510684296429,0.12787785809167992,-0.6712892216112856,-0.6239434959239816,0.29326658981000364,-0.34972029567143037,-0.31457906722103257
PD_PeriodicityWang_th0_01,-0.23204878238284474,0.6383872312755906,0.2703701990584764,0.682557201655211,-0.13665713508651275,0.28155057818487783,-0.15960996726962992,0.6018416607471622,-0.07201911678732008,1.0,0.17587756355996745,0.682557201655211,-0.5328639373962423,0.4932669677847108,-0.019570399817145222,0.46579334709463194,0.17503501050350123,0.07653737087797531,0.49712008580063455,0.5758393736714958,-0.5047478227012451,-0.3902610399659461
