,0
DN_HistogramMode_5,-0.5249854
DN_HistogramMode_10,-0.6366551
CO_f1ecac,0.6474302
CO_FirstMin_ac,0.92748076
CO_HistogramAMI_even_2_5,-0.4817248
CO_trev_1_num,-0.5607767
MD_hrv_classic_pnn40,-0.41511375
SB_BinaryStats_mean_longstretch1,3.8840237
SB_TransitionMatrix_3ac_sumdiagcov,-0.54394686
PD_PeriodicityWang_th0_01,1.0753078
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.5015312
IN_AutoMutualInfoStats_40_gaussian_fmmi,0.7796536
FC_LocalSimple_mean1_tauresrat,-0.5440713
DN_OutlierInclude_p_001_mdrmd,-0.45827302
DN_OutlierInclude_n_001_mdrmd,-0.41905358
SP_Summaries_welch_rect_area_5_1,-0.43004358
SB_BinaryStats_diff_longstretch0,0.33617216
SB_MotifThree_quantile_hh,-0.27977628
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.42513764
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,-0.43992034
SP_Summaries_welch_rect_centroid,-0.5290214
FC_LocalSimple_mean3_stderr,-0.46003732
