fecha,Real,Prediccion_LSTM_catch22
2021-04-01,59743.1902214643,-14739.225
2021-05-01,73873.0,1040.066
2021-06-01,95146.0,6677.3457
2021-07-01,97594.66433359256,14087.582
2021-08-01,72327.0,11541.164
2021-09-01,67022.99999999997,20547.803
2021-10-01,83528.0,18000.041
2021-11-01,98578.0,24982.398
2021-12-01,223569.1278011966,29103.564
2022-01-01,134303.0,38869.273
2022-02-01,193903.6,47087.71
2022-03-01,227886.0,72092.234
2022-04-01,292648.0,107695.73
2022-05-01,260013.0,150372.58
2022-06-01,269366.0,193961.25
2022-07-01,306246.0,199919.69
2022-08-01,297602.0,243858.62
2022-09-01,246464.0,272095.56
2022-10-01,281938.0,287649.6
2022-11-01,318693.0,283105.34
2022-12-01,400266.0,292845.9
2023-01-01,258166.18821264655,308238.75
2023-02-01,198751.85766927944,305414.66
2023-03-01,251839.50267324003,299298.56
2023-04-01,283179.2556557846,310591.06
2023-05-01,213191.0389184069,310206.44
2023-06-01,224580.17382775573,289609.3
2023-07-01,257626.95044792976,235731.12
2023-08-01,264514.08794636687,230240.03
2023-09-01,218486.47810497988,247145.98
2023-10-01,164499.38846570507,243163.8
2023-11-01,255894.2762344005,221511.72
2023-12-01,327097.61316611955,228072.17
2024-01-01,292731.8668067316,238054.66
2024-02-01,265990.67321318097,238437.92
2024-03-01,322310.3940022896,237157.05
2024-04-01,240988.81729405135,258255.02
2024-05-01,238807.9548151027,295933.75
2024-06-01,234781.22686199367,302230.2
2024-07-01,266974.95506929053,280679.53
2024-08-01,282101.83101094456,270087.5
2024-09-01,215658.8098341591,269276.66
2024-10-01,249665.7008373391,243411.56
2024-11-01,302674.076910829,246143.05
2024-12-01,361749.6884796847,254359.19
2025-01-01,289543.5982553855,271919.12
2025-02-01,254428.88643334265,278146.44
2025-03-01,278538.2509841704,277917.78
2025-04-01,300287.6910735994,302104.1
2025-05-01,247981.9259720942,317238.0
2025-06-01,254190.0961535216,310256.72
2025-07-01,283388.6987866118,279971.16
2025-08-01,293780.5243930469,274058.25
2025-09-01,218069.51122057904,281554.06
2025-10-01,255920.93232213068,275516.4
2025-11-01,310585.5201071752,262150.88
2025-12-01,365573.0218067979,270496.3
2026-01-01,300664.07527322107,283900.3
2026-02-01,236844.11361811563,287133.3
2026-03-01,291160.36570034793,283169.94
2026-04-01,260951.04561236835,308109.66
2026-05-01,241312.2952590584,318630.0
2026-06-01,245687.58097717003,306959.34
